age	job	marital	education	default	housing	loan	duration
56	entrepreneur	married	unknown	unknown	no	no	204
40	blue-collar	married	unknown	no	yes	yes	155
36	blue-collar	married	basic.9y	no	yes	yes	98
51	blue-collar	married	unknown	unknown	yes	no	71
51	blue-collar	married	unknown	unknown	no	no	243
43	technician	single	professional.course	no	yes	no	186
59	services	married	high.school	no	no	no	579
24	management	single	university.degree	no	yes	no	165
37	blue-collar	single	basic.9y	unknown	yes	yes	163
40	blue-collar	married	basic.9y	unknown	no	no	46
42	blue-collar	married	basic.9y	unknown	no	no	559
39	services	divorced	high.school	unknown	no	no	2033
37	entrepreneur	married	basic.6y	no	no	no	85
38	services	married	high.school	no	yes	yes	506
56	admin.	divorced	unknown	unknown	no	no	114
40	blue-collar	married	unknown	no	no	no	114
54	management	divorced	university.degree	no	yes	no	843
43	blue-collar	married	high.school	unknown	no	yes	181
36	services	married	high.school	unknown	no	no	427
45	technician	married	university.degree	no	yes	yes	292
42	admin.	single	university.degree	unknown	no	no	192
43	services	married	high.school	no	no	no	93
46	management	married	basic.9y	no	no	no	128
44	services	married	high.school	no	yes	yes	107
51	admin.	single	basic.6y	no	no	no	303
28	services	married	high.school	no	yes	no	81
37	blue-collar	married	basic.9y	no	no	no	270
34	technician	married	high.school	no	no	no	228
46	blue-collar	married	basic.6y	unknown	yes	no	240
42	blue-collar	married	basic.9y	no	yes	yes	673
36	admin.	married	university.degree	no	yes	no	233
54	blue-collar	married	basic.4y	unknown	no	no	102
57	management	married	university.degree	no	no	no	461
51	technician	married	basic.6y	unknown	no	no	250
54	retired	married	high.school	unknown	no	no	130
49	blue-collar	married	basic.4y	unknown	no	no	252
34	admin.	married	university.degree	no	yes	no	138
41	technician	married	professional.course	no	no	no	412
38	blue-collar	single	basic.9y	no	yes	no	179
45	management	divorced	university.degree	no	no	no	19
42	technician	married	university.degree	no	no	no	228
34	blue-collar	single	basic.9y	unknown	yes	no	55
48	blue-collar	married	basic.4y	no	yes	no	717
37	admin.	married	high.school	unknown	yes	no	313
34	blue-collar	single	basic.9y	unknown	no	no	289
40	admin.	married	basic.9y	unknown	yes	no	683
43	blue-collar	married	basic.6y	no	yes	no	1077
33	services	married	high.school	no	no	no	146
32	services	single	basic.6y	no	no	no	167
39	blue-collar	married	high.school	no	yes	no	356
43	admin.	married	unknown	no	no	no	277
44	blue-collar	married	basic.9y	no	yes	no	172
35	student	single	university.degree	unknown	no	no	218
35	student	single	university.degree	unknown	yes	yes	217
35	unemployed	married	professional.course	no	no	no	67
36	services	single	basic.4y	no	no	no	291
35	student	single	university.degree	unknown	yes	no	248
36	student	single	basic.9y	no	yes	no	256
55	housemaid	divorced	university.degree	no	no	no	286
59	admin.	married	university.degree	no	no	no	477
57	retired	married	unknown	unknown	no	no	611
39	blue-collar	married	professional.course	unknown	yes	no	471
39	housemaid	married	basic.4y	unknown	yes	no	381
30	blue-collar	single	unknown	no	yes	no	251
30	blue-collar	single	unknown	no	yes	yes	408
50	housemaid	married	basic.4y	unknown	no	no	287
40	services	married	high.school	no	no	no	322
35	admin.	married	high.school	no	yes	no	216
43	technician	married	unknown	unknown	no	no	366
36	services	single	basic.6y	unknown	yes	no	210
46	technician	married	basic.4y	unknown	yes	no	288
40	technician	married	basic.9y	no	no	no	168
58	retired	married	university.degree	no	no	no	132
42	technician	married	university.degree	no	no	no	64
35	admin.	single	university.degree	no	no	no	209
43	retired	married	basic.4y	unknown	no	no	410
45	blue-collar	married	basic.4y	no	yes	yes	177
39	admin.	married	professional.course	no	yes	no	580
50	services	divorced	professional.course	no	yes	no	165
32	management	divorced	basic.4y	unknown	yes	no	127
39	admin.	married	high.school	unknown	no	no	357
52	self-employed	married	university.degree	unknown	no	no	175
44	admin.	married	professional.course	no	yes	no	300
56	blue-collar	married	basic.4y	no	no	no	136
48	admin.	married	high.school	no	no	no	125
33	services	married	high.school	unknown	no	yes	189
43	management	married	university.degree	unknown	no	yes	213
57	retired	married	high.school	no	no	no	238
36	technician	single	professional.course	no	no	no	124
34	management	married	university.degree	no	yes	no	18
34	services	single	basic.9y	no	no	no	730
30	technician	married	university.degree	unknown	no	no	40
33	services	divorced	unknown	no	no	no	181
32	technician	single	professional.course	no	no	no	79
36	technician	single	high.school	no	yes	no	142
36	blue-collar	single	high.school	no	no	yes	389
33	services	single	high.school	no	no	no	702
